# k re_decimal im_decimal
0 -1.714843750000 7.222656250000
1 -3.166381835938 11.652679443359
2 -9.383666992188 30.873870849609
3 15.584655761719 -45.886199951172
4 4.895935058594 -13.001708984375
5 3.096771240234 -7.475067138672
6 2.397918701172 -5.242553710938
7 1.991088867188 -3.980102539062
8 1.736663818359 -3.170379638672
9 1.593322753906 -2.633422851562
10 1.451782226562 -2.237304687500
11 1.387390136719 -1.983856201172
12 1.338928222656 -1.706512451172
13 1.294830322266 -1.456085205078
14 1.246673583984 -1.308868408203
15 1.264038085938 -1.136901855469
16 1.268157958984 -0.996002197266
17 1.292266845703 -0.864105224609
18 1.315124511719 -0.708770751953
19 1.423217773438 -0.535522460938
20 1.581298828125 -0.348297119141
21 1.894195556641 -0.045776367188
22 2.805999755859 0.669586181641
23 12.869384765625 8.080017089844
24 -2.266784667969 -2.904418945312
25 -0.605957031250 -1.637268066406
26 -0.160308837891 -1.252044677734
27 0.057678222656 -1.027313232422
28 0.195037841797 -0.905456542969
29 0.266510009766 -0.798553466797
30 0.344573974609 -0.744842529297
31 0.356140136719 -0.671112060547
32 0.394531250000 -0.621093750000
33 0.396087646484 -0.580444335938
34 0.406341552734 -0.551696777344
35 0.408081054688 -0.506866455078
36 0.439422607422 -0.469696044922
37 0.469512939453 -0.428985595703
38 0.468566894531 -0.403472900391
39 0.475769042969 -0.372985839844
40 0.507171630859 -0.354339599609
41 0.482452392578 -0.345306396484
42 0.475067138672 -0.294464111328
43 0.490325927734 -0.307250976562
44 0.494964599609 -0.280700683594
45 0.482025146484 -0.269256591797
46 0.484832763672 -0.257843017578
47 0.451110839844 -0.222106933594
48 0.480895996094 -0.202362060547
49 0.475372314453 -0.182525634766
50 0.491271972656 -0.171356201172
51 0.486511230469 -0.128082275391
52 0.472961425781 -0.129852294922
53 0.488006591797 -0.123809814453
54 0.484313964844 -0.089477539062
55 0.433502197266 -0.072265625000
56 0.476806640625 -0.078002929688
57 0.479827880859 -0.049011230469
58 0.484832763672 -0.035095214844
59 0.501495361328 -0.033203125000
60 0.473297119141 -0.026062011719
61 0.478149414062 -0.001037597656
62 0.491973876953 0.008209228516
63 0.471099853516 0.032073974609
64 0.472656250000 0.035156250000
65 0.491088867188 0.035919189453
66 0.466430664062 0.089141845703
67 0.449584960938 0.059051513672
68 0.461669921875 0.093383789062
69 0.485137939453 0.093841552734
70 0.456268310547 0.104797363281
71 0.456481933594 0.116271972656
72 0.450531005859 0.137115478516
73 0.455627441406 0.134338378906
74 0.448852539062 0.175231933594
75 0.467041015625 0.163482666016
76 0.460937500000 0.194488525391
77 0.423980712891 0.199310302734
78 0.416290283203 0.213897705078
79 0.425231933594 0.224487304688
80 0.450592041016 0.230377197266
81 0.439117431641 0.255645751953
82 0.432617187500 0.278289794922
83 0.436523437500 0.265075683594
84 0.441223144531 0.303619384766
85 0.396575927734 0.295776367188
86 0.437835693359 0.334259033203
87 0.424377441406 0.313110351562
88 0.421508789062 0.338195800781
89 0.406738281250 0.361328125000
90 0.390045166016 0.390411376953
91 0.418212890625 0.409576416016
92 0.380096435547 0.417846679688
93 0.400604248047 0.460662841797
94 0.401214599609 0.459869384766
95 0.381896972656 0.493499755859
96 0.378906250000 0.503906250000
97 0.382598876953 0.501953125000
98 0.357940673828 0.531799316406
99 0.345031738281 0.547882080078
100 0.365814208984 0.593963623047
101 0.341278076172 0.601348876953
102 0.343505859375 0.653778076172
103 0.342407226562 0.655151367188
104 0.321258544922 0.668853759766
105 0.316497802734 0.726837158203
106 0.303253173828 0.754852294922
107 0.280731201172 0.791687011719
108 0.300506591797 0.843139648438
109 0.273529052734 0.857208251953
110 0.253936767578 0.944122314453
111 0.262451171875 0.986450195312
112 0.237854003906 1.046112060547
113 0.219146728516 1.077850341797
114 0.209350585938 1.170928955078
115 0.156921386719 1.261810302734
116 0.154174804688 1.333587646484
117 0.111724853516 1.460113525391
118 0.100219726562 1.534118652344
119 0.048980712891 1.686584472656
120 0.009094238281 1.831726074219
121 -0.061126708984 2.020141601562
122 -0.126434326172 2.236206054688
123 -0.222015380859 2.523498535156
124 -0.331268310547 2.900756835938
125 -0.499511718750 3.405700683594
126 -0.696624755859 4.124420166016
127 -1.075347900391 5.254058837891
