# k re_decimal im_decimal
0 -1.714843750000 7.222656250000
1 -3.165923234847 11.653087924388
2 -9.383172730439 30.874314146087
3 15.585076110660 -45.885590907268
4 4.896011928307 -13.001551437407
5 3.096811211869 -7.474858950697
6 2.398029099295 -5.242407780370
7 1.991164629464 -3.980057865083
8 1.736785152289 -3.170295650958
9 1.593402054278 -2.633273482766
10 1.451838563554 -2.237153124959
11 1.387382472009 -1.983821487182
12 1.339024268728 -1.706431956436
13 1.294980717899 -1.455972595320
14 1.246750705977 -1.308795167545
15 1.264098204601 -1.136853373427
16 1.268171107873 -0.996006661810
17 1.292334307103 -0.864222655229
18 1.314995308749 -0.708521157687
19 1.423178976051 -0.535524729113
20 1.581310043147 -0.348328962710
21 1.894169953367 -0.045792527218
22 2.806063794704 0.669547900943
23 12.869495087348 8.080168819737
24 -2.266819510834 -2.904412103451
25 -0.606039145157 -1.637260050656
26 -0.160316594498 -1.252077676256
27 0.057807320116 -1.027373931277
28 0.195026389851 -0.905465123866
29 0.266462898600 -0.798436351810
30 0.344515973577 -0.744911777099
31 0.356156766906 -0.671121946321
32 0.394531250000 -0.621093750000
33 0.396112299395 -0.580452308987
34 0.406255501242 -0.551749044461
35 0.408113713276 -0.506922883195
36 0.439474199256 -0.469834922994
37 0.469465747916 -0.428932997491
38 0.468619298164 -0.403497992554
39 0.475821590527 -0.373083446733
40 0.507155841208 -0.354333994393
41 0.482389643472 -0.345327395808
42 0.474980940181 -0.294627232189
43 0.490299761068 -0.307377207494
44 0.494912406946 -0.280687448269
45 0.481878687666 -0.269365854952
46 0.484871337430 -0.257846390793
47 0.451073708363 -0.221944861671
48 0.480908978016 -0.202367705266
49 0.475346361176 -0.182532388208
50 0.491269379219 -0.171420856108
51 0.486577400912 -0.128036592705
52 0.472964821586 -0.129798429439
53 0.488027279658 -0.123809911349
54 0.484400956349 -0.089434067383
55 0.433559534949 -0.072171244441
56 0.476849183056 -0.077973337783
57 0.479771261909 -0.048952825204
58 0.484883710655 -0.035189622216
59 0.501492183349 -0.033406084457
60 0.473336734873 -0.026104059721
61 0.478161347945 -0.001047618866
62 0.492045250455 0.008133278306
63 0.471176994518 0.032127620222
64 0.472656250000 0.035156250000
65 0.491058161414 0.036017924741
66 0.466397993980 0.089156865834
67 0.449621629565 0.058943288806
68 0.461661932847 0.093349703762
69 0.485141321302 0.093745973768
70 0.456225355495 0.104692621574
71 0.456310051915 0.116352957803
72 0.450512770257 0.137066317368
73 0.455686781139 0.134314316434
74 0.448810293782 0.175069294843
75 0.466995511779 0.163571361489
76 0.460920733180 0.194468830389
77 0.423970525952 0.199205339285
78 0.416246110904 0.213872872273
79 0.425189316852 0.224398911488
80 0.450578892127 0.230381661810
81 0.439092679100 0.255619434837
82 0.432532662369 0.278400797824
83 0.436501271256 0.265091394701
84 0.441127804452 0.303684139288
85 0.396458876651 0.295743070821
86 0.437786737085 0.334241409337
87 0.424217415071 0.312976788950
88 0.421510676222 0.338171857795
89 0.406737743340 0.361194090560
90 0.390035666036 0.390299392833
91 0.418110423691 0.409305339892
92 0.380033324190 0.417878010684
93 0.400595293596 0.460544205622
94 0.401099261961 0.460002537493
95 0.381811808921 0.493685737828
96 0.378906250000 0.503906250000
97 0.382659605955 0.501992344304
98 0.358014367983 0.531684864770
99 0.345072235290 0.547901793056
100 0.365820349101 0.593905735878
101 0.341259898615 0.601264980600
102 0.343514909586 0.653835142316
103 0.342232668640 0.655229217614
104 0.321171236245 0.668813327983
105 0.316427753054 0.726858773113
106 0.303253826575 0.754673019550
107 0.280712212946 0.791652336629
108 0.300518784909 0.843070512454
109 0.273513047224 0.857036953423
110 0.253966793712 0.944076427021
111 0.262400932388 0.986259442304
112 0.237841021984 1.046117705266
113 0.219063732868 1.077884383034
114 0.209248873745 1.170939873526
115 0.156850672006 1.261590551555
116 0.154128921304 1.333574173622
117 0.111626238307 1.459977294420
118 0.100109801266 1.534110206831
119 0.048905273605 1.686494866655
120 0.009084651556 1.831713583439
121 -0.061071388658 2.020148858193
122 -0.126527763132 2.236200458610
123 -0.221995810128 2.523474073519
124 -0.331272642677 2.900771234765
125 -0.499571662105 3.405602047018
126 -0.696745385961 4.124380779650
127 -1.075410067913 5.254062058119
